Name;Matches;Runs;Avg;SR
KP Pietersen;26;1020;48.57;146.55
MW Pillans;2;5;5.00;83.33
S Pillay;7;24;4.80;75.00
ND Pinner;2;-;-;-
SA Piolet;4;7;7.00;100.00
RAH Pitchers;1;9;9.00;56.25
LE Plunkett;10;76;15.20;152.00
GB Poddar;8;216;27.00;127.81
HW Podmore;5;13;13.00;54.16
KA Pollard;37;897;35.88;145.38
MA Pollard;7;112;18.66;104.67
Z Pongolo;3;60;60.00;113.20
S Pono;1;6;6.00;75.00
WTS Porterfield;18;503;45.72;109.34
D Potgieter;3;48;24.00;154.83
AD Poynter;4;43;21.50;119.44
SW Poynter;7;27;6.75;100.00
T Poynton;14;132;18.85;129.41
JE Poysden;9;1;-;50.00
AG Pradeep;9;97;16.16;97.00
SB Pradhan;8;123;41.00;273.33
A Prakash;1;-;-;-
G Praneeth Kumar;3;17;5.66;77.27
S Prasanna;14;155;14.09;158.16
DB Prasanth;9;230;25.55;135.29
P Prasanth;5;19;9.50;146.15
V Pratap Singh;3;1;1.00;50.00
Pratyush Singh;1;4;4.00;200.00
PR Prem;5;109;27.25;102.83
A Premaratne;2;-;-;-
D Pretorius;13;202;20.20;129.48
R Pretorius;7;135;33.75;143.61
AJN Price;6;95;31.66;137.68
ML Price;1;99;-;170.68
AG Prince;16;455;30.33;127.45
DD Prince;4;97;24.25;97.97
RD Pringle;13;87;8.70;107.40
KGCP Priyadharshana;2;13;13.00;76.47
TR Priyan;5;-;-;-
SMA Priyanjan;7;109;18.16;134.56
GS Priyankara;2;1;-;50.00
LA Procter;1;20;20.00;117.64
CA Pujara;4;129;43.00;103.20
SS Pundir;3;6;3.00;46.15
Puneet Yadav;8;146;24.33;108.14
DS Punia;5;29;29.00;116.00
S Purkayastha;4;36;12.00;144.00
PM Pushpakumara;6;25;8.33;104.16
PGCSP Pussegolla;6;56;11.20;76.71
GD Putland;1;-;-;-
AG Puttick;14;337;24.07;104.01
RM Pyrah;10;35;7.00;85.36
Qadeer Ahmed;1;-;-;-
Qaiser Ashraf;6;1;-;50.00
RJ Quiney;3;26;13.00;96.29
MR Quinn;5;0;-;-
ZC Qwabe;3;2;1.00;66.66
GR Rabie;3;-;-;-
K Rabada;6;5;-;83.33
Rafatullah Mohmand;13;406;31.23;147.10
KO Rafferty;1;-;-;-
Raghav Dhawan;6;95;15.83;95.95
AM Rahane;16;577;44.38;128.79
Rahat Ali;6;1;1.00;100.00
Raheel Ameer;5;154;38.50;143.92
Rahimbaz Khan;3;34;34.00;125.92
P Raho;1;6;-;85.71
KL Rahul;9;142;28.40;112.69
Rahul Singh;8;7;3.50;28.00
SK Raina;19;410;24.11;121.66
SL Rainbird;2;1;1.00;33.33
BA Raine;13;111;18.50;129.06
KASN Rajaguru;7;67;67.00;203.03
DDM Rajakaruna;6;55;11.00;94.82
C Rajapaksa;1;-;-;-
PBB Rajapaksa;7;129;32.25;153.57
HM Rajapaksha;1;66;-;106.45
Rajat Shet;2;16;8.00;66.66
Raja Naeem;3;27;9.00;122.72
RR Raje;7;0;0.00;0.00
CAK Rajitha;8;6;6.00;100.00
AS Rajpoot;1;-;-;-
Rajwinder Singh;2;9;-;128.57
H Ramanayake;2;28;14.00;112.00
RLB Rambukwella;7;165;33.00;181.31
D Ramdin;13;213;26.62;122.41
Rameez Ahmed;1;10;10.00;100.00
Rameez Ahmed;1;-;-;-
Rameez Aziz;1;2;2.00;33.33
Rameez Raja;8;233;29.12;147.46
Rameez Raja;4;39;13.00;102.63
Rameez Shahzad;1;14;14.00;93.33
OA Ramela;10;99;12.37;93.39
R Rampaul;12;6;-;100.00
MR Ramsaroop;1;0;0.00;0.00
A Rana;4;14;3.50;36.84
HJ Rana;5;143;35.75;136.19
N Rana;5;126;25.20;120.00
S Rana;5;130;26.00;122.64
M Rangarajan;2;28;14.00;133.33
UJ Ranasinghe;1;1;1.00;50.00
SHA Rance;8;8;-;200.00
SKC Randunu;6;30;30.00;120.00
WAI Rangana;1;1;-;25.00
WS Rangika;6;123;24.60;175.71
DA Rankin;1;34;34.00;91.89
WB Rankin;7;-;-;-
RJ Ranpura;8;24;24.00;109.09
K Rapulana;3;33;33.00;103.12
AU Rashid;16;57;19.00;135.71
Rashid Khan;2;-;-;-
E Rathnayake;2;7;3.50;70.00
DSL Ratnayake;1;1;1.00;50.00
KTH Ratnayake;1;19;19.00;190.00
AS Raut;4;5;5.00;71.42
JA Raval;11;145;14.50;129.46
M Ravichandrakumar;1;-;-;-
M Ravi Kiran;9;5;5.00;33.33
DB Ravi Teja;3;8;2.66;50.00
VP Rawal;5;97;32.33;159.01
M Rawat;4;77;25.66;130.50
YB Rawat;8;1;-;33.33
OP Rayner;7;20;6.66;111.11
AT Rayudu;17;281;25.54;143.36
SM Razack;3;0;0.00;0.00
Raza Ali Dar;3;19;9.50;86.36
CMW Read;4;12;6.00;171.42
NJ Reardon;9;188;26.85;116.04
PA Reddy;7;102;20.40;124.39
JK Reed;6;8;-;266.66
B Regmi;10;26;4.33;52.00
Rehan Afridi;3;57;28.50;96.61
RA Reifer;3;36;18.00;180.00
JB Reva;4;6;2.00;33.33
WMH Rhodes;6;26;5.20;86.66
Riasat Ali;6;116;29.00;138.09
Riaz Afridi;1;-;-;-
RR Richards;6;1;-;100.00
KW Richardson;10;30;15.00;120.00
MJ Richardson;2;14;7.00;100.00
S Ridma;6;84;16.80;83.16
AEN Riley;5;1;-;100.00
NJ Rimmington;19;30;30.00;115.38
EB Ringera;3;6;-;150.00
MJG Rippon;10;64;32.00;114.28
Rizwan Cheema;5;98;19.60;144.11
Rizwan Haider;6;20;10.00;105.26
KAJ Roach;7;14;7.00;82.35
OE Robinson;12;24;8.00;82.75
Rohan Mustafa;4;58;19.33;120.83
BJ Rohrer;7;77;19.25;98.71
Rokhan Barakzai;3;-;-;-
TS Roland-Jones;5;15;15.00;136.36
L Ronchi;12;203;18.45;135.33
Rony Talukdar;14;153;11.76;94.44
JE Root;4;175;43.75;142.27
CA Rose;2;-;-;-
P Roshan Kumar Rao;8;93;15.50;114.81
DS Rosier;8;84;14.00;144.82
AI Ross;10;186;23.25;157.62
AM Rossington;9;93;15.50;134.78
RR Rossouw;15;330;27.50;137.50
BB Roy;2;1;1.00;33.33
JJ Roy;18;363;22.68;144.62
SA Roy;4;108;36.00;127.05
RR Roy Chowdhury;1;6;6.00;150.00
Rubel Hossain;6;0;0.00;0.00
JA Rudolph;14;461;41.90;127.34
SS Ruikar;3;17;8.50;77.27
KL Rukmal;3;4;4.00;100.00
Rumman Raees;15;3;1.00;60.00
RJMGM Rupasinghe;7;226;56.50;123.49
C Rushworth;9;4;4.00;57.14
AD Russell;42;776;25.86;175.96
HD Rutherford;10;337;37.44;138.11
LAC Ruwansiri;6;165;33.00;173.68
JD Ryder;14;351;27.00;161.00
Saadat Munir;5;7;-;100.00
Saad Altaf;3;0;0.00;0.00
Saad Bin Zafar;5;11;3.66;64.70
Saad Nasim;12;192;24.00;129.72
Sabbir Rahman;18;280;20.00;108.52
Sachin Baby;5;105;21.00;110.52
Sachin Mohan;2;34;17.00;94.44
Sadaif Mehdi;3;1;1.00;50.00
Sadaqat Ali;3;4;2.00;57.14
Saeed Ajmal;23;20;6.66;95.23
Safeer Tariq;5;23;7.66;76.66
Sagar Pun;7;61;10.16;105.17
TS Saha;4;3;3.00;75.00
WP Saha;18;353;20.76;141.76
PM Sahani;7;103;51.50;133.76
M Saif;1;4;4.00;66.66
Saifullah Bangash;7;71;17.75;116.39
NJ Sai Krishna;2;21;21.00;110.52
Sajedul Islam;2;1;1.00;11.11
Sajid Hussain;1;1;1.00;25.00
Sajjad Ali;8;201;28.71;138.62
Sajid Watto;1;-;-;-
Salman Irshad;3;5;2.50;100.00
Salman Zaib;1;0;-;-
Z Saloojee;6;9;9.00;81.81
AG Salter;11;29;7.25;107.40
S Sam;5;0;0.00;0.00
C Samantha;1;-;-;-
BB Samantray;8;124;17.71;118.09
ISS Samarasooriya;5;25;5.00;48.07
S Samarawickrama;5;63;21.00;131.25
R Samarth;5;30;7.50;73.17
Samiullah;4;6;-;54.54
Samiullah Khan;3;13;13.00;100.00
Samiullah Shenwari;10;225;32.14;113.06
Sami Aslam;3;92;46.00;113.58
DJG Sammy;32;333;16.65;125.66
TN Sampath;6;113;18.83;91.86
SV Samson;20;363;22.68;112.03
MN Samuels;19;585;41.78;125.53
PADLR Sandakan;7;8;8.00;100.00
BP Sandeep;6;22;7.33;129.41
Sandeep Sharma;25;10;10.00;66.66
S Sandeep Warrier;4;-;-;-
GS Sandhu;3;1;-;33.33
GS Sandhu;9;-;-;-
KC Sangakkara;22;756;37.80;132.39
BB Sanjeewa;6;15;3.75;65.21
MJ Santner;1;9;9.00;69.23
K Santokie;13;49;12.25;92.45
Saqlain Sajib;8;14;7.00;87.50
AR Sarangi;8;210;30.00;116.66
DM Sarathchandra;5;18;4.50;85.71
Sarfraz Ahmed;16;234;33.42;160.27
AS Sarkar;4;6;6.00;150.00
Sarmad Bhatti;2;-;-;-
KV Sasikanth;9;86;28.66;132.30
R Sathish;5;47;11.75;134.28
Saud Shakeel;5;28;14.00;155.55
KL Sauramba;1;0;0.00;0.00
CP Savage;2;15;7.50;75.00
Jatin S Saxena;8;43;8.60;143.33
Jalaj S Saxena;8;89;17.80;97.80
Sayed Shirzad;2;1;1.00;50.00
RJ Sayer;3;13;6.50;86.66
JPR Scantlebury-Searles;8;16;4.00;64.00
BM Scholtz;14;19;6.33;79.16
NRP Scholtz;11;70;11.66;111.11
BE Scott;9;17;17.00;65.38
GFB Scott;3;38;38.00;92.68
BM Scullard;6;34;17.00;100.00
E Sebareme;3;-;-;-
LAS Sebastien;1;0;0.00;0.00
RS Second;5;57;19.00;78.08
PM Seelaar;9;25;5.00;96.15
PN Seet;6;15;-;93.75
V Sehwag;10;223;22.30;131.95
TL Seifert;9;133;22.16;168.35
SMSM Senanayake;15;72;12.00;118.03
MIG Senaratne;4;55;13.75;183.33
SC Serasinghe;7;119;19.83;117.82
KZ Sereo;1;-;-;-
LLL Sesele;1;17;-;100.00
KK Seth;3;1;-;50.00
N Setimani;2;-;-;-
S Seyibokwe;7;244;34.85;114.55
Shabbir Ali;3;14;14.00;73.68
Shadman Islam;4;86;21.50;92.47
Shafiqullah;12;117;29.25;201.72
Shafiul Islam;10;23;5.75;104.54
JN Shah;4;71;23.66;133.96
KD Shah;9;23;7.66;71.87
OA Shah;17;413;25.81;121.47
RS Shah;3;28;-;103.70
Shahan Akram;5;94;18.80;94.94
Shahbaz Ali;2;44;22.00;110.00
H Shahid;6;5;-;55.55
Shahid Afridi;37;489;18.80;151.86
Shahid Khan;3;25;8.33;96.15
Shahid Yousuf;5;121;40.33;127.36
Shahriar Nafees;5;104;26.00;109.47
M Shahrukh Khan;3;19;9.50;70.37
Shahzaib Ahmed;6;-;-;-
Shahzaib Hasan;16;403;25.18;145.48
Shah Faisal;2;-;-;-
KM Shaikh;1;-;-;-
SM Shaikh;4;52;26.00;136.84
SS Shaikh;7;286;40.85;128.25
Shaiman Anwar;6;155;25.83;123.01
Shakeel Ahmed;2;0;0.00;0.00
Shakeel Ansar;4;20;10.00;133.33
T Shamsi;20;6;-;75.00
Shamsur Rahman;3;25;8.33;80.64
MD Shanaka;10;166;27.66;150.90
V Shankar;5;36;9.00;80.00
JD Shantry;14;17;5.66;106.25
Shan Masood;5;111;22.20;158.57
Shapoor Zadran;4;0;-;-
Shakib Al Hasan;22;302;17.76;108.24
Sharafuddin Ashraf;4;-;-;-
HS Sharath;4;5;5.00;50.00
SM Sharif;10;34;17.00;141.66
Sharjeel Khan;8;278;34.75;154.44
G Sharma;1;0;0.00;0.00
I Sharma;4;-;-;-
JM Sharma;3;20;6.66;71.42
KV Sharma;18;166;20.75;121.16
MM Sharma;20;31;10.33;124.00
RG Sharma;18;610;38.12;144.20
RR Sharma;3;17;8.50;113.33
SS Sharma;2;11;11.00;110.00
UA Sharma;2;6;3.00;37.50
Shashank Singh;4;95;31.66;172.72
J Shaw;2;0;-;-
Sheharyar Ghani;5;123;30.75;150.00
Shehzad Azam;5;5;5.00;166.66
Shehzad Iqbal;1;0;0.00;0.00
A Sheikh;5;-;-;-
Sher Hasan;4;20;20.00;133.33
AA Sheth;2;0;-;0.00
M Shezi;13;9;-;180.00
S Shillingford;2;-;-;-
Shivam Sharma;1;-;-;-
Shoaib Laghari;5;139;34.75;157.95
Shoaib Malik;32;892;35.68;132.14
SU Shrivastava;4;56;14.00;105.66
Shubek Gill;3;0;-;-
LR Shukla;4;69;34.50;116.94
BN Shushu;1;-;-;-
Shuvagata Hom;12;94;11.75;142.42
Shykat Ali;7;80;11.42;101.26
L Siaka;6;59;9.83;118.00
V Sibanda;2;62;31.00;101.63
MP Siboto;14;8;4.00;72.72
PM Siddle;4;5;5.00;50.00
N Sigwili;5;23;23.00;176.92
Sikandar Raza;11;181;18.10;114.55
Sikander Khan;1;4;4.00;80.00
JC Silk;11;309;38.62;140.45
AAS Silva;6;3;3.00;37.50
AJC Silva;5;20;6.66;100.00
ARS Silva;5;141;47.00;111.90
AWL Silva;3;36;18.00;171.42
JK Silva;6;47;9.40;109.30
LPC Silva;6;263;87.66;169.67
MMSS Silva;1;0;0.00;0.00
WAAM Silva;1;9;9.00;150.00
S Simetu;11;-;-;-
KI Simmonds;2;14;-;200.00
CJ Simmons;10;159;15.90;111.97
LMP Simmons;37;1172;33.48;114.23
JA Simpson;13;367;45.87;141.69
DMS Sincuba;4;40;10.00;81.63
AA Singh;8;147;21.00;142.71
AP Singh;3;45;15.00;90.00
GA Singh;5;68;13.60;87.17
ID Singh;5;137;34.25;119.13
Jaskaranveer Singh;10;269;29.88;112.55
NB Singh;5;0;0.00;0.00
RK Singh;4;70;17.50;102.94
RP Singh;4;2;2.00;50.00
RR Singh;8;33;8.25;80.48
SG Singh;7;4;4.00;57.14
AS Sinha;2;34;17.00;73.91
RMGK Sirisoma;1;-;-;-
TAM Siriwardana;12;293;36.62;156.68
BJ Small;3;9;9.00;128.57
D Smit;2;56;56.00;114.28
JC Smit;4;0;-;0.00
JJ Smit;10;50;12.50;121.95
DR Smith;30;714;23.80;112.08
GM Smith;4;75;25.00;129.31
GP Smith;6;60;15.00;115.38
JF Smith;3;55;27.50;161.76
KR Smith;1;41;-;120.58
RAJ Smith;2;27;-;128.57
SPD Smith;15;383;31.91;139.78
TMJ Smith;13;25;12.50;166.66
WR Smith;16;87;12.42;101.16
JT Smuts;13;270;30.00;139.89
KR Smuts;6;48;16.00;117.07
CF Snyman;6;7;3.50;53.84
G Snyman;14;246;17.57;143.02
Jurie Snyman;1;-;-;-
IS Sodhi;11;23;11.50;121.05
AM Sodumo;1;4;4.00;50.00
Sohag Gazi;3;4;2.00;40.00
Sohaib Maqsood;15;414;29.57;119.65
Sohail Akhtar;5;85;21.25;180.85
Sohail Khan;1;8;-;160.00
Sohail Tanvir;38;254;13.36;113.39
Sohrab Khan;3;2;2.00;66.66
RK Solanki;4;167;41.75;125.56
VS Solanki;5;44;11.00;89.79
AD Solomons;9;100;16.66;131.57
Sompal Kami;10;48;12.00;96.00
CA Soper;3;16;-;100.00
MC Sorensen;2;23;-;191.66
Soumya Sarkar;15;221;15.78;118.18
TG Southee;8;13;6.50;130.00
JK Soutter;6;1;-;100.00
NA Sowter;5;1;-;100.00
TDT Soysa;5;33;8.25;73.33
BB Sran;7;17;17.00;242.85
SH Srinivas;8;22;4.40;61.11
NI Standford;5;120;40.00;148.14
B Stanlake;1;-;-;-
D Stanley;2;1;1.00;100.00
MA Starc;14;11;11.00;78.57
MT Steketee;6;0;0.00;-
CV Stephen;9;6;-;75.00
BDH Stevens;6;54;13.50;81.81
DI Stevens;17;219;15.64;138.60
C Stevenson;1;-;-;-
ND Stewart;6;18;9.00;200.00
DW Steyn;6;20;20.00;153.84
PR Stirling;15;489;32.60;157.74
MP Stoinis;4;87;29.00;120.83
BA Stokes;8;212;35.33;154.74
OP Stone;11;-;-;-
MD Stoneman;13;342;28.50;134.11
GA Stuurman;1;-;-;-
PA Stuurman;1;12;12.00;92.30
Subashis Roy;2;1;-;50.00
P Subrayen;6;29;29.00;161.11
J Suchith;18;59;19.66;140.47
B Sudhakar;3;14;-;60.86
C Sudharaka;1;1;1.00;33.33
Sufyan Mehmood;1;-;-;-
Suhrawadi Shuvo;1;2;2.00;50.00
Sultan Ahmed;13;131;26.20;131.00
Sultan Ahmed;8;23;11.50;115.00
TL Suman;9;361;40.11;143.25
B Sumanth;1;1;1.00;50.00
Sunzamul Islam;1;-;-;-
N Surendran;2;10;5.00;100.00
TN Surujbally;1;3;3.00;42.85
L Suryaprakash;3;42;14.00;75.00
ST Suwalka;4;70;17.50;122.80
P Suyal;8;0;0.00;0.00
AR Swanepoel;10;153;19.12;107.74
Swapnil Singh;2;19;-;146.15
MR Swart;9;203;29.00;100.49
Z Swartz;1;1;1.00;20.00
J Syed Mohammad;4;42;14.00;123.52
JS Sykes;2;-;-;-
Tabish Khan;5;0;0.00;0.00
Taijul Islam;11;22;11.00;64.70
Taimur Ali;3;34;11.33;87.17
SW Tait;21;11;1.83;57.89
Taj Wali;7;-;-;-
YV Takawale;4;127;42.33;108.54
PV Tambe;14;7;7.00;43.75
Tamim Iqbal;14;382;29.38;117.17
Tanvir Javed;1;10;10.00;100.00
Tanwir Afzal;12;129;12.90;127.72
WWP Taraka;1;27;27.00;103.84
AP Tare;6;153;25.50;129.66
Tariq Haroon;5;74;18.50;151.02
Taskin Ahmed;8;-;-;-
BRM Taylor;11;126;11.45;109.56
CJ Taylor;2;4;2.00;36.36
JE Taylor;12;22;5.50;56.41
JMR Taylor;14;67;13.40;163.41
LRPL Taylor;10;135;22.50;99.26
MD Taylor;2;5;-;250.00
MJ Taylor;10;165;23.57;146.01
RML Taylor;10;11;11.00;57.89
SR Taylor;2;33;16.50;132.00
JWA Taylor;12;253;31.62;123.41
Tayyab Riaz;4;44;11.00;84.61
Tayyab Tahir;1;-;-;-
YB Tembhare;3;8;-;40.00
RN ten Doeschate;31;485;20.20;125.00
RK Terblanche;7;44;14.66;118.91
SP Terry;1;1;1.00;33.33
R Tewatia;1;-;-;-
SJ Thakor;14;81;7.36;106.57
RD Thakur;4;3;1.50;60.00
SN Thakur;5;14;14.00;100.00
DHAP Tharanga;7;94;15.66;98.94
WU Tharanga;7;172;28.66;168.62
RP Thattil;6;58;9.66;82.85
J Theron;10;16;4.00;69.56
A Thilanchana;3;13;4.33;108.33
HDRL Thirimanne;3;18;6.00;128.57
AC Thomas;11;3;-;100.00
BC Thomas;3;27;27.00;75.00
DC Thomas;10;137;19.57;121.23
IAA Thomas;4;0;0.00;0.00
SR Thompson;11;57;14.25;109.61
GM Thomson;6;165;41.25;127.90
T Thushara;1;11;-;157.14
DT Tiripano;1;-;-;-
MK Tiwary;9;127;21.16;97.69
SS Tiwary;11;222;74.00;137.03
V Tokas;4;2;2.00;100.00
GY Tomar;3;25;8.33;100.00
RJW Topley;19;7;3.50;77.77
JC Tredwell;9;38;38.00;165.21
PD Trego;12;222;20.18;122.65
CP Tremain;6;1;-;50.00
ME Trescothick;5;45;9.00;91.83
TIF Triffitt;7;60;30.00;146.34
RA Tripathi;3;89;44.50;136.92
SK Trivedi;4;-;-;-
SV Trivedi;1;3;3.00;75.00
MS Tshabalala;2;5;5.00;41.66
C Tshiki;3;63;63.00;136.95
TL Tsolekile;10;173;24.71;131.06
LL Tsotsobe;9;1;-;100.00
AJ Turner;9;49;9.80;108.88
AJ Tye;10;3;-;30.00
AK Tyronne;1;-;-;-
I Udana;6;46;9.20;115.00
ML Udawatte;7;251;41.83;140.22
RJI Udayanga;9;120;13.33;85.10
TM Ul-Haq;1;-;-;-
Umaid Asif;1;-;-;-
Umair Ali;5;28;9.33;96.55
Umar Akmal;35;748;31.16;125.29
Umar Amin;5;163;40.75;127.34
Umar Gul;4;1;-;50.00
Umar Nazir;5;5;2.50;41.66
Umar Siddiq;5;60;15.00;117.64
Umar Waheed;1;7;7.00;36.84
JD Unadkat;5;0;0.00;0.00
K Upadhyay;4;-;-;-
TP Ura;6;103;17.16;132.05
Usama Mir;11;44;14.66;146.66
Usman Ghani;5;162;32.40;119.11
Usman Maroof;3;33;11.00;64.70
RV Uthappa;15;445;34.23;132.04
P Utseya;6;28;28.00;127.27
LI Vaaltyn;1;-;-;-
A Vala;6;131;26.20;89.72
Y Valli;3;21;7.00;61.76
MY Vallie;8;71;11.83;91.02
T Vamsi Krishna;2;0;0.00;0.00
LV van Beek;10;54;9.00;135.00
PJ van Biljon;1;-;-;-
GL van Buuren;13;182;30.33;114.46
NJ van den Bergh;7;59;8.42;85.50
HJ van der Berg;1;-;-;-
HE van der Dussen;13;354;27.23;113.46
T van der Gugten;13;14;3.50;77.77
RE van der Merwe;9;100;20.00;138.88
JDF Vandersay;10;1;-;20.00
JD Vandiar;7;118;23.60;119.19
J van Dyk;2;-;-;-
VB van Jaarsveld;10;360;60.00;135.33
PA van Meekeren;7;0;-;-
SC van Schalkwyk;14;66;66.00;122.22
MB van Schelven;3;-;-;-
R van Schoor;11;180;20.00;110.42
N Vanua;6;63;21.00;161.53
CFK van Wyk;6;82;16.40;89.13
DJ van Wyk;2;7;3.50;116.66
L van Wyk;2;76;38.00;104.10
MN van Wyk;17;489;37.61;115.60
S van Zyl;2;92;46.00;126.02
KM Vardhan;2;17;-;121.42
JNT Vare;6;64;12.80;114.28
S Vashishat;2;9;4.50;52.94
KA Vaz;4;14;3.50;30.43
KS Velani;7;74;12.33;104.22
A Verma;6;4;1.33;57.14
NH Verma;5;29;7.25;64.44
S Vesawkar;10;126;15.75;85.13
DL Vettori;12;4;1.00;26.66
CW Vidanapathirana;7;-;-;-
GH Vihari;14;249;20.75;125.75
M Vijay;13;298;22.92;115.50
PS Vijayran;5;1;1.00;20.00
Vikash Singh;7;2;2.00;18.18
DJ Vilas;2;23;11.50;100.00
GC Viljoen;9;24;6.00;75.00
WAH Vimarshana;3;1;1.00;50.00
KDV Vimukthi;2;7;7.00;140.00
R Vinay Kumar;13;0;0.00;0.00
JM Vince;25;861;41.00;128.31
Virat Singh;7;77;12.83;92.77
TP Visee;2;9;4.50;64.28
KDK Vithanage;7;215;30.71;164.12
BV Vitori;2;-;-;-
B Vivek Singh;4;102;34.00;120.00
AC Voges;9;249;62.25;123.88
M Vohra;16;390;26.00;120.37
LJ Volkwyn;1;-;-;-
GA Vries;3;5;-;83.33
SB Vyas;1;10;10.00;90.90
MS Wade;9;151;18.87;112.68
J Wadhawan;2;6;3.00;54.54
P Waduge;7;92;15.33;109.52
GG Wagg;13;209;34.83;122.94
SB Wagh;4;37;18.50;92.50
AA Waghmode;3;81;27.00;100.00
N Wagner;2;1;1.00;100.00
Wahab Riaz;13;70;11.66;134.61
Waheed Ahmed;1;4;4.00;30.76
DJ Wainwright;2;5;5.00;125.00
MJ Waite;2;14;-;200.00
SP Wakaskar;3;80;26.66;119.40
AG Wakely;15;235;29.37;107.79
AA Wakhare;4;17;8.50;89.47
G Walker;1;-;-;-
CD Wallace;3;26;-;144.44
MA Wallace;14;127;14.11;99.21
MN Waller;15;306;38.25;164.51
MTC Waller;12;18;18.00;120.00
BD Walters;12;14;4.66;73.68
MD Walters;2;35;35.00;100.00
CAK Walton;10;243;27.00;110.95
WSC Wanigasekera;1;0;0.00;0.00
AV Wankhade;4;41;20.50;97.61
WHT Wanniarchchi;3;17;8.50;77.27
Waqar Orakzai;2;4;4.00;57.14
Waqas Barkat;5;22;7.33;88.00
Waqas Khan;6;22;22.00;91.66
Waqas Khan;3;21;10.50;65.62
Waqas Maqsood;2;0;-;-
MS Warnapura;4;19;6.33;54.28
DA Warner;15;566;40.42;155.06
JA Warrican;3;0;-;-
Waseem Raza;5;26;13.00;76.47
VS Wategaonkar;4;30;10.00;75.00
NAT Watkins;6;36;12.00;90.00
SR Watson;15;385;29.61;130.06
MRJ Watt;7;1;1.00;33.33
DS Weerakkody;7;67;16.75;128.84
CP Weerasinghe;2;-;-;-
UWMBCA Welegedara;6;6;6.00;150.00
JW Wells;8;33;8.25;82.50
SR Wells;11;37;9.25;127.58
TJ Wells;13;166;41.50;159.61
JB Wessels;2;29;29.00;152.63
MH Wessels;19;544;28.63;137.02
T Westley;16;439;29.26;118.32
AJA Wheater;16;314;28.54;138.32
CL White;9;173;19.22;96.64
DJ White;4;141;35.25;120.51
GG White;14;-;-;-
WA White;9;17;8.50;73.91
RA Whiteley;20;389;32.41;162.76
SM Whiteman;7;72;14.40;112.50
D Wickramanayaka;6;88;29.33;125.71
PC Wickramasinghe;6;8;8.00;57.14
PD Wickramasinghe;3;56;-;155.55
WAHN Wickramasinghe;4;47;15.66;106.81
D Wiese;34;193;14.84;126.97
CMKK Wijerathne;1;1;-;100.00
CMKK Wijeratne;4;-;-;-
KLVD Wijeratne;1;30;30.00;100.00
MSR Wijeratne;1;34;34.00;121.42
SA Wijeratne;2;11;5.50;78.57
CG Wijesinghe;2;21;10.50;91.30
OLA Wijesiriwardene;1;-;-;-
TA Willett;5;56;14.00;90.32
DJ Willey;17;303;23.30;168.33
B Williams;3;5;-;166.66
CG Williams;12;197;28.14;133.10
LB Williams;2;-;-;-
RC Williams;1;-;-;-
SC Williams;10;246;30.75;127.46
KS Williamson;6;175;35.00;153.50
BS Wilson;8;137;27.40;119.13
GC Wilson;16;238;21.63;98.75
WGK Wimaladharma;7;103;17.16;128.75
NP Winter;2;0;0.00;0.00
PG Wintz;1;-;-;-
SD Withanawasam;2;6;6.00;60.00
CR Woakes;5;106;53.00;170.96
CP Wood;15;69;17.25;118.96
MA Wood;1;-;-;-
SKW Wood;9;38;12.66;105.55
LJ Woodcock;10;50;8.33;84.74
GH Worker;11;262;23.81;123.58
BJ Wright;12;116;19.33;118.36
CJC Wright;2;-;-;-
LJ Wright;23;682;34.10;158.97
J Yadav;8;84;42.00;135.48
RM Yadav;2;10;5.00;71.42
SA Yadav;17;220;20.00;127.16
SB Yadav;5;34;8.50;94.44
UT Yadav;12;29;29.00;207.14
HN Ya France;6;78;19.50;85.71
DH Yagnik;4;25;8.33;96.15
Yamin Ahmadzai;2;1;-;100.00
MH Yardy;13;32;10.66;128.00
Yashpal Singh;5;172;43.00;103.61
Yasim Murtaza;3;37;18.50;100.00
Yasir Ali;7;112;22.40;113.13
Yasir Arafat;27;38;6.33;95.00
Yasir Butt;1;13;13.00;130.00
Yasir Hameed;7;196;28.00;128.10
Yasir Shah;15;38;7.60;82.60
P Yiba;1;-;-;-
S Yiba;1;-;-;-
BJ Young;1;4;4.00;200.00
CA Young;8;0;-;0.00
WA Young;9;157;19.62;130.83
Younis Khan;5;183;45.75;157.75
Yuvraj Singh;18;363;22.68;126.92
Zafar Ali;3;47;15.66;94.00
Zafar Ali;5;103;51.50;109.57
Zafar Gohar;5;32;16.00;145.45
Zaheer Maqsood;2;-;-;-
Zahid Mahmood;3;5;5.00;71.42
Zahid Mansoor;7;136;27.20;111.47
Zahir Siddiqi;9;27;27.00;150.00
Zahoor Ahmed;1;-;-;-
Zahoor Khan;2;-;-;-
Zain Abbas;6;114;38.00;118.75
A Zampa;9;5;1.66;55.55
Zeeshan Gul;4;19;9.50;146.15
Zeeshan Khan;2;18;18.00;180.00
Zeeshan Maqsood;12;283;25.72;149.73
Zeeshan Mushtaq;1;0;-;0.00
Zeeshan Siddiqui;9;156;22.28;117.29
Zia-ul-Haq;4;2;-;66.66
Ziaur Rahman;9;83;16.60;133.87
Zohaib Ahmed;5;26;26.00;162.50
Zohaib Khan;10;34;17.00;113.33
VH Zol;1;18;18.00;75.00
K Zondo;15;117;11.70;87.31
Zubair Khan;4;39;9.75;95.12
Zubayr Hamza;5;99;33.00;105.31
