Name;Matches;Runs;Avg;SR
TLW Cooper;17;257;23.36;135.26
MMMS Cooray;1;14;14.00;63.63
NHG Cooray;4;60;20.00;85.71
PDMA Cooray;6;96;24.00;105.49
KAM Corbin;1;20;20.00;71.42
GTG Cork;4;8;-;88.88
MJ Cosgrove;13;321;26.75;122.05
DA Cosker;14;15;7.50;75.00
BD Cotton;4;8;8.00;160.00
KJ Cottoy;3;14;14.00;93.33
SS Cottrell;10;15;7.50;150.00
P Coughlin;3;-;-;-
W Coulentianos;5;53;13.25;80.30
NM Coulter-Nile;15;67;9.57;171.79
CK Coventry;4;30;10.00;100.00
EJM Cowan;2;43;21.50;122.85
FK Cowdrey;14;184;14.15;127.77
OB Cox;14;130;26.00;125.00
MS Crane;3;-;-;-
AG Cremer;9;19;4.75;65.51
SJ Croft;16;478;43.45;127.80
SP Crook;16;190;31.66;127.51
MH Cross;11;292;41.71;161.32
ML Cummins;1;-;-;-
PJ Cummins;6;1;0.50;16.66
SM Curran;7;36;36.00;85.71
TK Curran;13;90;15.00;126.76
AR Cusack;10;13;13.00;260.00
BCJ Cutting;10;167;18.55;141.52
KC D'Costa;5;13;-;108.33
MD Dai;6;59;11.80;86.76
PG Dake;3;-;-;-
CJ Dala;12;4;4.00;200.00
RR Dalal;5;39;7.80;78.00
PDC Damith;4;81;27.00;126.56
R Damodaran;7;29;4.83;76.31
A Dananjaya;8;30;30.00;90.90
S Dapo;6;20;10.00;64.51
AA Darekar;1;-;-;-
Darya Khan;1;15;15.00;150.00
AK Das;4;3;3.00;60.00
AA Das;2;7;3.50;46.66
BSR Das;4;30;15.00;120.00
DB Das;4;149;149.00;171.26
KS Das;3;0;-;0.00
PL Das;3;13;-;108.33
PP Das;4;112;28.00;151.35
PP Das;4;59;14.75;95.16
RK Das;2;65;32.50;166.66
PM Datey;5;7;3.50;175.00
JH Davey;8;12;12.00;120.00
H Davids;23;490;24.50;116.66
J Davidson;6;10;-;125.00
AL Davies;16;235;18.07;143.29
RC Davies;3;6;6.00;300.00
SM Davies;5;117;23.40;172.05
N Davin;2;11;5.50;137.50
DYA Davis;7;1;-;100.00
Dawlat Zadran;8;0;-;-
LA Dawson;10;148;29.60;106.47
AD Day;7;78;13.00;83.87
R Dayal;5;60;60.00;90.90
GSK de Silva;5;117;23.40;99.15
AAS de Alwis;4;40;40.00;222.22
JR Dean;4;41;10.25;102.50
DC de Boorder;11;73;14.60;105.79
TB de Bruyn;12;297;29.70;118.32
C de Grandhomme;11;177;29.50;158.03
Q de Kock;18;650;36.11;142.23
CD de Lange;6;1;1.00;50.00
M de Lange;16;16;8.00;88.88
CS Delport;24;557;26.52;130.14
VS de Mel;7;24;8.00;109.09
JL Denly;12;281;23.41;147.89
CDJ Dent;8;72;12.00;120.00
K Deobrat;8;52;7.42;81.25
N Deonarine;4;36;9.00;87.80
JW Dernbach;6;41;13.66;164.00
AS Desai;5;14;2.80;36.84
Pratik Desai;5;102;20.40;106.25
PU Deshpande;1;29;29.00;107.40
TU Deshpande;2;0;0.00;0.00
DM de Silva;9;222;24.66;120.00
AMCM de Silva;2;0;0.00;0.00
C de Silva;6;48;9.60;87.27
KTGT de Silva;2;1;1.00;25.00
PC de Silva;7;70;10.00;118.64
ST de Silva;7;67;13.40;97.10
WSM de Silva;2;1;-;25.00
AP Devcich;9;336;37.33;131.76
KH Devdhar;3;27;9.00;77.14
AB de Villiers;22;673;39.58;161.77
JP de Villiers;2;-;-;-
R Dewan;5;42;8.40;82.35
NJ Dexter;8;31;7.75;96.87
M Deyal;1;23;23.00;92.00
HHM de Zoysa;4;53;13.25;96.36
RSSS de Zoysa;6;62;15.50;80.51
NS Dhaliwal;5;129;64.50;108.40
DGR Dhammika;3;2;2.00;28.57
NA Dharmasena;1;0;0.00;0.00
R Dhawan;13;197;32.83;109.44
S Dhawan;16;367;24.46;121.52
Dhiman Ghosh;3;2;2.00;28.57
SS Dhindsa;5;8;4.00;53.33
MS Dhoni;19;397;30.53;122.15
B Dial;6;40;8.00;105.26
SR Dickson;1;11;11.00;68.75
N Dickwella;7;43;8.60;100.00
LHD Dilhara;5;124;24.80;144.18
WKG Dilruk;6;123;24.60;161.84
MNM Dilshad;8;0;-;0.00
TM Dilshan;29;629;22.46;124.30
AB Dinda;6;1;0.50;100.00
JN Diseko;6;19;9.50;135.71
DMGS Dissanayake;2;16;16.00;133.33
WRD Dissanayake;5;46;11.50;71.87
TA Dithole;2;26;-;104.00
MW Dixon;1;-;-;-
GH Dockrell;10;26;8.66;123.80
AL Dodson;6;165;27.50;107.14
P Dogra;9;169;21.12;131.00
XJ Doherty;6;7;7.00;87.50
Dolar Mahmud;1;0;-;-
BL D'Oliveira;11;116;16.57;131.81
BM Dolley;6;2;2.00;50.00
AHT Donald;2;6;6.00;75.00
AJ Doolan;2;22;11.00;110.00
JR Doran;1;-;-;-
SO Dowrich;7;65;21.66;138.29
RT D'Souza;3;28;14.00;100.00
BM Duckett;14;224;28.00;128.73
KJ Dudgeon;4;16;5.33;69.56
RM Duffield;4;-;-;-
JA Duffy;11;23;11.50;255.55
G Dukes;1;1;1.00;50.00
H Dumindu;6;98;19.60;130.66
JP Duminy;19;543;45.25;130.52
BR Dunk;8;142;17.75;120.33
MP Dunn;8;3;1.50;60.00
DM Dupavillon;2;1;1.00;33.33
F du Plessis;23;652;36.22;136.68
JL du Plooy;7;64;16.00;103.22
D du Preez;8;28;5.60;100.00
MD du Preez;3;24;12.00;80.00
WJ Durston;14;431;33.15;138.14
N Dutta;4;9;-;128.57
BJ Dwarshuis;2;-;-;-
ER Dwivedi;4;40;10.00;100.00
EJH Eckersley;13;174;13.38;106.09
LEK Edirisinghe;3;38;12.66;115.15
FH Edwards;19;35;11.66;134.61
GA Edwards;6;1;-;33.33
Ehtisham Sultan;2;0;-;0.00
Ehsan Adil;5;38;19.00;135.71
Ehsan Nawaz;1;-;-;-
GSM Ekanayake;5;0;-;0.00
D Elgar;3;37;12.33;71.15
Elias Sunny;2;10;10.00;83.33
GD Elliott;12;258;25.80;119.44
AM Ellis;10;97;13.85;121.25
SL Elstone;11;161;14.63;123.84
AB Emmanuel;1;9;9.00;81.81
RR Emrit;17;113;56.50;141.25
Enamul Haque jnr;3;5;2.50;50.00
RJ Engelbrecht;5;9;-;90.00
SA Engelbrecht;12;188;26.85;102.17
RMS Eranga;5;15;7.50;68.18
WA Eranga;1;3;3.00;60.00
MG Erasmus;5;47;9.40;87.03
MN Erlank;5;115;28.75;93.49
CR Ervine;9;102;11.33;77.27
SM Ervine;10;200;25.00;166.66
SJ Erwee;9;343;49.00;126.56
AC Evans;10;0;0.00;0.00
LJ Evans;16;312;20.80;119.54
ED Ewerts;2;3;3.00;75.00
Fabid Ahmed;1;0;-;0.00
Fahad Babar;6;116;19.33;100.86
Fahad Tariq;1;28;-;186.66
Fahad-ul-Haq;2;44;22.00;133.33
Fahim Ashraf;5;23;7.66;100.00
Faisal Ahmed;1;0;0.00;0.00
Faisal Athar;5;141;35.25;116.52
Faisal Iqbal;4;129;32.25;135.78
